date,open,high,low,close,volume,ma50,ma200
2025-12-09 11:15:00,5.58,5.59,5.58,5.58,1121400,5.642,
2025-12-09 11:30:00,5.58,5.59,5.57,5.57,897800,5.6398,
2025-12-09 13:15:00,5.58,5.59,5.57,5.58,1737100,5.6376,
2025-12-09 13:30:00,5.58,5.58,5.57,5.57,260400,5.6352,
2025-12-09 13:45:00,5.58,5.58,5.57,5.57,1004300,5.632199999999999,
2025-12-09 14:00:00,5.57,5.58,5.56,5.57,1846400,5.6293999999999995,
2025-12-09 14:15:00,5.57,5.58,5.56,5.57,674500,5.6268,
2025-12-09 14:30:00,5.56,5.58,5.56,5.57,1608900,5.624200000000001,
2025-12-09 14:45:00,5.56,5.58,5.56,5.56,1843600,5.6213999999999995,
2025-12-09 15:00:00,5.57,5.58,5.56,5.56,2254500,5.6188,
2025-12-10 09:45:00,5.56,5.58,5.55,5.56,4281500,5.6162,
2025-12-10 10:00:00,5.56,5.59,5.56,5.57,2916200,5.6138,
2025-12-10 10:15:00,5.57,5.59,5.57,5.58,1334000,5.6108,
2025-12-10 10:30:00,5.58,5.59,5.57,5.58,1514900,5.6084,
2025-12-10 10:45:00,5.58,5.59,5.56,5.56,1122000,5.6064,
2025-12-10 11:00:00,5.56,5.57,5.55,5.55,1108900,5.6046000000000005,
2025-12-10 11:15:00,5.56,5.56,5.55,5.55,638100,5.602799999999999,
2025-12-10 11:30:00,5.55,5.56,5.55,5.56,986200,5.601600000000001,
2025-12-10 13:15:00,5.55,5.56,5.54,5.55,1685600,5.6,
2025-12-10 13:30:00,5.55,5.57,5.54,5.57,1446700,5.599000000000001,
2025-12-10 13:45:00,5.57,5.58,5.56,5.56,1911900,5.597800000000001,
2025-12-10 14:00:00,5.57,5.58,5.56,5.56,1075300,5.5966000000000005,
2025-12-10 14:15:00,5.56,5.57,5.56,5.57,1987300,5.595600000000001,
2025-12-10 14:30:00,5.56,5.57,5.56,5.56,1029200,5.594000000000001,
2025-12-10 14:45:00,5.57,5.57,5.56,5.57,801900,5.5926,
2025-12-10 15:00:00,5.56,5.57,5.55,5.57,2041700,5.5912,
2025-12-11 09:45:00,5.57,5.58,5.54,5.54,4412200,5.589000000000001,
2025-12-11 10:00:00,5.55,5.56,5.54,5.55,3019500,5.587199999999999,
2025-12-11 10:15:00,5.54,5.57,5.54,5.56,3030000,5.585799999999999,
2025-12-11 10:30:00,5.57,5.57,5.55,5.57,1260100,5.5844,
2025-12-11 10:45:00,5.56,5.58,5.56,5.58,1293100,5.5834,
2025-12-11 11:00:00,5.57,5.58,5.57,5.58,981100,5.5824,
2025-12-11 11:15:00,5.58,5.58,5.57,5.58,1253800,5.5813999999999995,
2025-12-11 11:30:00,5.57,5.58,5.57,5.57,882200,5.5802,
2025-12-11 13:15:00,5.57,5.58,5.56,5.57,1389000,5.578800000000001,
2025-12-11 13:30:00,5.56,5.57,5.56,5.56,478100,5.5776,
2025-12-11 13:45:00,5.56,5.56,5.55,5.55,1624600,5.5760000000000005,
2025-12-11 14:00:00,5.55,5.56,5.55,5.56,743500,5.574599999999999,
2025-12-11 14:15:00,5.55,5.57,5.55,5.55,2023600,5.5729999999999995,
2025-12-11 14:30:00,5.55,5.57,5.55,5.57,1311000,5.5718,
2025-12-11 14:45:00,5.57,5.57,5.55,5.57,1730200,5.5706,
2025-12-11 15:00:00,5.56,5.57,5.55,5.56,2248000,5.569399999999999,
2025-12-12 09:45:00,5.55,5.56,5.53,5.53,4547900,5.5676,
2025-12-12 10:00:00,5.53,5.54,5.52,5.53,3008300,5.566,
2025-12-12 10:15:00,5.53,5.54,5.51,5.52,2812500,5.5645999999999995,
2025-12-12 10:30:00,5.52,5.53,5.51,5.52,1669800,5.563400000000001,
2025-12-12 10:45:00,5.51,5.53,5.51,5.52,2586200,5.562200000000001,
2025-12-12 11:00:00,5.51,5.52,5.51,5.52,1673900,5.5607999999999995,
2025-12-12 11:15:00,5.51,5.52,5.5,5.51,3397700,5.5594,
2025-12-12 11:30:00,5.51,5.52,5.5,5.51,1958000,5.558000000000001,
2025-12-12 13:15:00,5.51,5.52,5.5,5.51,1602500,5.5565999999999995,
2025-12-12 13:30:00,5.51,5.52,5.5,5.51,2028100,5.5554,
2025-12-12 13:45:00,5.51,5.52,5.51,5.52,1462400,5.5542,
2025-12-12 14:00:00,5.51,5.52,5.51,5.52,2225700,5.5532,
2025-12-12 14:15:00,5.51,5.52,5.5,5.52,3172700,5.5522,
2025-12-12 14:30:00,5.51,5.52,5.5,5.51,3112200,5.551,
2025-12-12 14:45:00,5.5,5.51,5.5,5.51,2265000,5.549799999999999,
2025-12-12 15:00:00,5.5,5.52,5.5,5.51,2973100,5.548599999999999,
2025-12-15 09:45:00,5.51,5.51,5.47,5.48,8925300,5.547,
2025-12-15 10:00:00,5.48,5.51,5.48,5.5,3720800,5.545799999999999,
2025-12-15 10:15:00,5.5,5.51,5.5,5.5,1565700,5.544599999999999,
2025-12-15 10:30:00,5.51,5.53,5.5,5.51,3085100,5.543399999999999,
2025-12-15 10:45:00,5.51,5.54,5.51,5.53,3101900,5.5424,
2025-12-15 11:00:00,5.53,5.54,5.52,5.53,2120500,5.541399999999999,
2025-12-15 11:15:00,5.53,5.54,5.52,5.52,2591800,5.5406,
2025-12-15 11:30:00,5.52,5.54,5.52,5.53,1617900,5.5402,
2025-12-15 13:15:00,5.54,5.56,5.53,5.55,3529100,5.5402,
2025-12-15 13:30:00,5.55,5.57,5.54,5.56,2701800,5.5402,
2025-12-15 13:45:00,5.56,5.56,5.55,5.56,1028100,5.5404,
2025-12-15 14:00:00,5.56,5.56,5.54,5.54,1477300,5.539799999999999,
2025-12-15 14:15:00,5.55,5.55,5.54,5.54,647900,5.5394,
2025-12-15 14:30:00,5.55,5.56,5.54,5.56,1647400,5.5394,
2025-12-15 14:45:00,5.56,5.56,5.54,5.54,1502400,5.5388,
2025-12-15 15:00:00,5.55,5.55,5.53,5.54,3067700,5.538399999999999,
2025-12-16 09:45:00,5.54,5.56,5.53,5.54,4240800,5.5378,
2025-12-16 10:00:00,5.54,5.54,5.5,5.5,3488000,5.5363999999999995,
2025-12-16 10:15:00,5.5,5.51,5.49,5.5,3282200,5.5356,
2025-12-16 10:30:00,5.5,5.51,5.49,5.5,1804900,5.5346,
2025-12-16 10:45:00,5.5,5.51,5.5,5.51,865900,5.5336,
2025-12-16 11:00:00,5.51,5.52,5.5,5.5,1352100,5.5322000000000005,
2025-12-16 11:15:00,5.5,5.51,5.5,5.5,538800,5.5306,
2025-12-16 11:30:00,5.51,5.51,5.5,5.51,953000,5.5291999999999994,5.57135
2025-12-16 13:15:00,5.5,5.51,5.49,5.49,2339500,5.5274,5.5714999999999995
2025-12-16 13:30:00,5.49,5.5,5.49,5.5,1290000,5.526,5.57175
2025-12-16 13:45:00,5.49,5.52,5.49,5.52,1989000,5.525,5.572050000000001
2025-12-16 14:00:00,5.52,5.52,5.5,5.51,1720700,5.524000000000001,5.5723
2025-12-16 14:15:00,5.51,5.52,5.5,5.51,611700,5.5232,5.5725999999999996
2025-12-16 14:30:00,5.5,5.51,5.5,5.51,754700,5.522200000000001,5.57285
2025-12-16 14:45:00,5.51,5.52,5.5,5.5,953900,5.5212,5.573049999999999
2025-12-16 15:00:00,5.5,5.51,5.5,5.51,1818500,5.52,5.57335
2025-12-17 09:45:00,5.5,5.5,5.47,5.48,5479700,5.5182,5.5735
2025-12-17 10:00:00,5.49,5.5,5.48,5.48,1546200,5.5165999999999995,5.57365
2025-12-17 10:15:00,5.49,5.5,5.48,5.48,1715000,5.515599999999999,5.57375
2025-12-17 10:30:00,5.49,5.51,5.48,5.49,1342500,5.5148,5.57385
2025-12-17 10:45:00,5.49,5.5,5.49,5.49,794500,5.514200000000001,5.574
2025-12-17 11:00:00,5.5,5.5,5.48,5.49,1078200,5.5136,5.5741499999999995
2025-12-17 11:15:00,5.49,5.5,5.48,5.49,897900,5.513,5.574250000000001
2025-12-17 11:30:00,5.49,5.5,5.48,5.49,797600,5.5124,5.574350000000001
2025-12-17 13:15:00,5.5,5.5,5.48,5.48,1065700,5.511799999999999,5.574350000000001
2025-12-17 13:30:00,5.48,5.49,5.48,5.49,859100,5.5114,5.574400000000001
2025-12-17 13:45:00,5.49,5.5,5.48,5.5,1016300,5.5112,5.574400000000001
2025-12-17 14:00:00,5.5,5.52,5.49,5.52,3237500,5.5114,5.574450000000001
2025-12-17 14:15:00,5.52,5.53,5.52,5.53,2151800,5.5116000000000005,5.5746
2025-12-17 14:30:00,5.53,5.53,5.51,5.53,3185900,5.511799999999999,5.5747
2025-12-17 14:45:00,5.53,5.53,5.51,5.52,3750700,5.511799999999999,5.57475
2025-12-17 15:00:00,5.51,5.53,5.51,5.51,3828600,5.511800000000001,5.5748
2025-12-18 09:45:00,5.51,5.52,5.5,5.51,3541000,5.511800000000001,5.5748
2025-12-18 10:00:00,5.51,5.51,5.5,5.5,1767200,5.5116000000000005,5.57475
2025-12-18 10:15:00,5.51,5.51,5.5,5.5,1038300,5.5120000000000005,5.57475
2025-12-18 10:30:00,5.51,5.52,5.51,5.51,1198400,5.5122,5.57475
2025-12-18 10:45:00,5.51,5.52,5.51,5.52,624400,5.5126,5.574699999999999
2025-12-18 11:00:00,5.52,5.52,5.51,5.51,1077100,5.5126,5.5745499999999995
2025-12-18 11:15:00,5.51,5.53,5.51,5.53,1021500,5.5126,5.5745499999999995
2025-12-18 11:30:00,5.52,5.53,5.52,5.52,839300,5.5124,5.574450000000001
2025-12-18 13:15:00,5.53,5.55,5.52,5.54,3480500,5.5127999999999995,5.574300000000001
2025-12-18 13:30:00,5.55,5.55,5.53,5.54,1569300,5.513,5.574199999999999
2025-12-18 13:45:00,5.54,5.56,5.54,5.56,4005100,5.513199999999999,5.574199999999999
2025-12-18 14:00:00,5.55,5.57,5.55,5.55,1962900,5.513,5.57405
2025-12-18 14:15:00,5.55,5.56,5.55,5.55,1005000,5.5127999999999995,5.57395
2025-12-18 14:30:00,5.56,5.57,5.55,5.56,1728100,5.5132,5.57385
2025-12-18 14:45:00,5.56,5.59,5.56,5.57,6916900,5.5138,5.57385
2025-12-18 15:00:00,5.58,5.59,5.57,5.58,3704500,5.5142,5.57395
2025-12-19 09:45:00,5.57,5.57,5.53,5.56,9055200,5.514599999999999,5.573900000000001
2025-12-19 10:00:00,5.57,5.58,5.55,5.56,2559000,5.515,5.57385
2025-12-19 10:15:00,5.57,5.59,5.56,5.58,2023400,5.5158000000000005,5.57395
2025-12-19 10:30:00,5.59,5.59,5.56,5.56,1725600,5.5169999999999995,5.5739
2025-12-19 10:45:00,5.57,5.57,5.56,5.57,783900,5.518400000000001,5.5739
2025-12-19 11:00:00,5.57,5.57,5.56,5.56,1142900,5.5196000000000005,5.57385
